smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type,admet_solubility,admet_solubility_source,admet_lipophilicity,admet_lipophilicity_source,admet_clearance_hepatocyte,admet_clearance_hepatocyte_source,admet_clearance_microsome,admet_clearance_microsome_source,admet_herg,admet_herg_source,admet_ames,admet_ames_source,admet_bbb,admet_bbb_source,admet_caco2,admet_caco2_source,admet_ppbr,admet_ppbr_source
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@H]2CCCO[C@@H]2c2ccccc2)cc1F,CHEMBL4046491,IC50,5.44,CHEMBL4102233,2017,CHEMBL4043185,Bioorg Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4 expressed in baculovirus-infected insect cells using 7-Benzoyloxy-4-trifluoromethyl coumarin substrate in presence of NADP+ by fluorescence based assay,104,261,O=S(=O)(Nc1nccs1)c1ccc(NCC2CCCOC2c2ccccc2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@]23CCC[C@@]2(O)CCC3)cc1F,CHEMBL4046491,IC50,5.2,CHEMBL4071736,2017,CHEMBL4043185,Bioorg Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4 expressed in baculovirus-infected insect cells using 7-Benzoyloxy-4-trifluoromethyl coumarin substrate in presence of NADP+ by fluorescence based assay,104,261,O=S(=O)(Nc1nccs1)c1ccc(NCC23CCCC2CCC3)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1ncns1)c1cc(Cl)c(NCCC2CCCCN2)cc1F,CHEMBL4009748,IC50,5.23,CHEMBL4088581,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,104,641,O=S(=O)(Nc1ncns1)c1ccc(NCCC2CCCCN2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1ncns1)c1cc(F)c(OCC[C@]2(c3ccccc3)CC[C@H](NC3CC3)CC2)cc1F,CHEMBL4009748,IC50,7.05,CHEMBL4063378,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,104,641,O=S(=O)(Nc1ncns1)c1ccc(OCCC2(c3ccccc3)CCC(NC3CC3)CC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@H]2CNCC[C@@H]2c2ccc(Cl)cc2)cc1F,CHEMBL3390674,IC50,6.82,CHEMBL3325526,2014,CHEMBL3352194,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 (unknown origin) using midazolam substrate,75,653,O=S(=O)(Nc1ncns1)c1ccc(OCC2CNCCC2c2ccccc2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccc(Cl)cc1)C12CCC(O)CC1COc1c(F)ccc(F)c12,CHEMBL1103463,IC50,5.04,CHEMBL1089525,2010,CHEMBL1156985,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 preincubated for 30 mins,38,1356,O=S(=O)(c1ccccc1)C12CCCCC1COc1ccccc12,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccc(Cl)cc1)N1[C@H](C2CC2)CCC[C@@H]1C1(Cc2nc(CN3CCCC3)no2)CC1,CHEMBL928536,IC50,6.52,CHEMBL254080,2008,CHEMBL1140773,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 pre-incubated before 30 mins,22,273,O=S(=O)(c1ccccc1)N1C(C2CC2)CCCC1C1(Cc2nc(CN3CCCC3)no2)CC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccc(Cl)cc1)N1[C@H](C2CC2)CCC[C@@H]1C1(Cc2nc(CN3CC[C@@H](O)C3)no2)CC1,CHEMBL928536,IC50,6.22,CHEMBL399283,2008,CHEMBL1140773,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 pre-incubated before 30 mins,22,273,O=S(=O)(c1ccccc1)N1C(C2CC2)CCCC1C1(Cc2nc(CN3CCCC3)no2)CC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccc(Cl)cc1)N1[C@H](C2CC2)CCC[C@@H]1C1(Cc2noc(CN3CCCC3)n2)CC1,CHEMBL928536,IC50,5.92,CHEMBL251800,2008,CHEMBL1140773,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 pre-incubated before 30 mins,22,273,O=S(=O)(c1ccccc1)N1C(C2CC2)CCCC1C1(Cc2noc(CN3CCCC3)n2)CC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC(CO)(CO)[C@@H]1COc1c(F)ccc(F)c12,CHEMBL3630419,IC50,4.96,CHEMBL3629736,2015,CHEMBL3627709,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin) co-incubated with substrate and protein,90,1366,O=S(=O)(c1ccccc1)C12CCCCC1COc1ccccc12,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC(CO)(CO)[C@@H]1COc1c(F)ccc(F)c12,CHEMBL3630420,IC50,4.94,CHEMBL3629736,2015,CHEMBL3627709,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin) preincubated with protein for 30 mins followed by substrate addition,90,1365,O=S(=O)(c1ccccc1)C12CCCCC1COc1ccccc12,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccc2[nH]c(SCc3cccc(Cl)c3)nc2c1)N1CCOCC1,CHEMBL2073339,IC50,5.72,CHEMBL1585484,2012,CHEMBL2069245,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4,58,448,O=S(=O)(c1ccc2[nH]c(SCc3ccccc3)nc2c1)N1CCOCC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1cccc(CCCCOCCCCCCNC[C@H](O)c2ccc(O)c(CO)c2)c1)C1CCCC1,CHEMBL3131891,IC50,5.42,CHEMBL3126382,2014,CHEMBL3124822,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 expressed in Escherichia coli using 7-benzyloxyquinoline as substrate,75,1369,O=S(=O)(c1cccc(CCCCOCCCCCCNCCc2ccccc2)c1)C1CCCC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
