smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type
Cc1cc(N2CC[C@@H](NC(=O)c3ccc(-n4cnnc4)cc3Cl)C2)c2onc(N)c2c1Cl,CHEMBL4018086,IC50,4.66,CHEMBL4099310,2017,CHEMBL4017471,Bioorg Med Chem Lett,Scientific Literature,Inhibition of human coagulation factor 10a,121,359,O=C(NC1CCN(c2cccc3cnoc23)C1)c1ccc(-n2cnnc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)ccc1-n1cccc(CCCO)c1=O,CHEMBL3705273,IC50,7.4,CHEMBL3659628,2013,CHEMBL3639205,,BindingDB Patent Bioactivity Data,"Inhibition Assay: Various concentrations of the substances to be tested are dissolved in dimethyl sulphoxide and mixed with an aqueous refludan solution (10 μg/ml). In clear 96-well plates having a flat bottom, 30 μl of citrate plasma (Octapharma) are mixed with 10 μl of the substance dilution. Then, either 20 μl of a solution of a rattlesnake toxin (Russel viper venom (RVV); RVV reagent: Pentapharm 121-06, final concentration 0.6 mU) in an aqueous calcium chloride solution buffer (final concentration of calcium chloride 0.05 M) or 20 μl of the aqueous calcium chloride solution (final concentration of calcium chloride 0.05 M) without RVV reagent (as reference for an unstimulated sample) are added. After addition of 20 μl of ChromozymX substrate (final concentration 1.6 mmol/l, Bachem L-1565, diluted in water) the samples are measured in a SpectraFluor Reader using a measurement filter of 405 nm each minute over a period of 20 minutes.",107,306,O=C(NCC1CN(c2ccc(-n3ccccc3=O)cc2)C(=O)O1)c1cccs1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)ccc1-n1cccc(CCO)c1=O,CHEMBL3705273,IC50,7.16,CHEMBL3659626,2013,CHEMBL3639205,,BindingDB Patent Bioactivity Data,"Inhibition Assay: Various concentrations of the substances to be tested are dissolved in dimethyl sulphoxide and mixed with an aqueous refludan solution (10 μg/ml). In clear 96-well plates having a flat bottom, 30 μl of citrate plasma (Octapharma) are mixed with 10 μl of the substance dilution. Then, either 20 μl of a solution of a rattlesnake toxin (Russel viper venom (RVV); RVV reagent: Pentapharm 121-06, final concentration 0.6 mU) in an aqueous calcium chloride solution buffer (final concentration of calcium chloride 0.05 M) or 20 μl of the aqueous calcium chloride solution (final concentration of calcium chloride 0.05 M) without RVV reagent (as reference for an unstimulated sample) are added. After addition of 20 μl of ChromozymX substrate (final concentration 1.6 mmol/l, Bachem L-1565, diluted in water) the samples are measured in a SpectraFluor Reader using a measurement filter of 405 nm each minute over a period of 20 minutes.",107,306,O=C(NCC1CN(c2ccc(-n3ccccc3=O)cc2)C(=O)O1)c1cccs1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)ccc1-n1cccc(CO)c1=O,CHEMBL3705273,IC50,7.68,CHEMBL3659625,2013,CHEMBL3639205,,BindingDB Patent Bioactivity Data,"Inhibition Assay: Various concentrations of the substances to be tested are dissolved in dimethyl sulphoxide and mixed with an aqueous refludan solution (10 μg/ml). In clear 96-well plates having a flat bottom, 30 μl of citrate plasma (Octapharma) are mixed with 10 μl of the substance dilution. Then, either 20 μl of a solution of a rattlesnake toxin (Russel viper venom (RVV); RVV reagent: Pentapharm 121-06, final concentration 0.6 mU) in an aqueous calcium chloride solution buffer (final concentration of calcium chloride 0.05 M) or 20 μl of the aqueous calcium chloride solution (final concentration of calcium chloride 0.05 M) without RVV reagent (as reference for an unstimulated sample) are added. After addition of 20 μl of ChromozymX substrate (final concentration 1.6 mmol/l, Bachem L-1565, diluted in water) the samples are measured in a SpectraFluor Reader using a measurement filter of 405 nm each minute over a period of 20 minutes.",107,306,O=C(NCC1CN(c2ccc(-n3ccccc3=O)cc2)C(=O)O1)c1cccs1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)CCc2ccc3[nH]c(-c4ccc(Br)s4)nc3c2)ccc1N1CCOCC1=O,CHEMBL662329,IC50,8.08,CHEMBL122329,2004,CHEMBL1146806,Bioorg Med Chem Lett,Scientific Literature,Binding affinity of the compoumd to human coagulation factor Xa,49,171,O=C(CCc1ccc2[nH]c(-c3cccs3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)CCc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,CHEMBL662329,IC50,8.09,CHEMBL124370,2004,CHEMBL1146806,Bioorg Med Chem Lett,Scientific Literature,Binding affinity of the compoumd to human coagulation factor Xa,49,171,O=C(CCc1ccc2[nH]c(-c3cccs3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)COc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,CHEMBL662329,IC50,7.7,CHEMBL123150,2004,CHEMBL1146806,Bioorg Med Chem Lett,Scientific Literature,Binding affinity of the compoumd to human coagulation factor Xa,49,171,O=C(COc1ccc2[nH]c(-c3cccs3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Br)s4)nc3c2)ccc1N1CCOCC1=O,CHEMBL662329,IC50,7.39,CHEMBL420338,2004,CHEMBL1146806,Bioorg Med Chem Lett,Scientific Literature,Binding affinity of the compoumd to human coagulation factor Xa,49,171,O=C(Cc1ccc2[nH]c(-c3cccs3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,CHEMBL662329,IC50,6.75,CHEMBL337921,2004,CHEMBL1146806,Bioorg Med Chem Lett,Scientific Literature,Binding affinity of the compoumd to human coagulation factor Xa,49,171,O=C(Cc1ccc2[nH]c(-c3cccs3)nc2c1)Nc1ccc(-n2ccccc2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,CHEMBL662329,IC50,6.92,CHEMBL340500,2004,CHEMBL1146806,Bioorg Med Chem Lett,Scientific Literature,Binding affinity of the compoumd to human coagulation factor Xa,49,171,O=C(Cc1ccc2[nH]c(-c3cccs3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)OCC(Oc2cccc3sc(C(=N)N)cc23)c2ccccc2)n(C)n1,CHEMBL1069633,Ki,5.69,CHEMBL606177,2010,CHEMBL1156932,J Med Chem,Scientific Literature,Inhibition of factor 10a by amidolytic assay,95,74,O=C(Nc1ccn[nH]1)OCC(Oc1cccc2sccc12)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)[C@@H](C)NC(=O)c2ccc(Cl)s2)ccc1N1CCOCC1=O,CHEMBL828580,IC50,4.82,CHEMBL187102,2004,CHEMBL1138652,Bioorg Med Chem Lett,Scientific Literature,Inhibitory concentration against human serine protease factor Xa,49,131,O=C(CNC(=O)c1cccs1)Nc1ccc(N2CCOCC2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)[C@@H](CC(C)C)NC(=O)c2ccc(Cl)s2)ccc1N1CCOCC1=O,CHEMBL828580,IC50,5.14,CHEMBL427333,2004,CHEMBL1138652,Bioorg Med Chem Lett,Scientific Literature,Inhibitory concentration against human serine protease factor Xa,49,131,O=C(CNC(=O)c1cccs1)Nc1ccc(N2CCOCC2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)[C@@H](CO)NC(=O)c2ccc(Cl)s2)ccc1N1CCOCC1=O,CHEMBL828580,IC50,4.54,CHEMBL364422,2004,CHEMBL1138652,Bioorg Med Chem Lett,Scientific Literature,Inhibitory concentration against human serine protease factor Xa,49,131,O=C(CNC(=O)c1cccs1)Nc1ccc(N2CCOCC2=O)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(NC(=O)c2sc3ccccc3c2Cl)c(C(=O)Nc2ccc(Cl)cc2)cc1Cl,CHEMBL857526,Ki,7.96,CHEMBL148687,2003,CHEMBL1136562,Bioorg Med Chem Lett,Scientific Literature,Inhibition constant against human factor Xa,37,227,O=C(Nc1ccccc1C(=O)Nc1ccccc1)c1cc2ccccc2s1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(OCC2CCCN(C(=N)N)C2)cc(OS(=O)(=O)c2ccccc2Cl)c1,CHEMBL802349,Ki,4.54,CHEMBL41862,1998,CHEMBL1130852,Bioorg Med Chem Lett,Scientific Literature,Compound was tested in vitro for its ability to inhibit serine protease factor Xa using benzoyl-Ile-Glu-Gly-Arg-p-nitroanilide as substrate,4,360,O=S(=O)(Oc1cccc(OCC2CCCNC2)c1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(OCC2CCN(C(=N)N)CC2)cc(OS(=O)(=O)c2ccccc2Cl)c1,CHEMBL802349,Ki,4.1,CHEMBL41876,1998,CHEMBL1130852,Bioorg Med Chem Lett,Scientific Literature,Compound was tested in vitro for its ability to inhibit serine protease factor Xa using benzoyl-Ile-Glu-Gly-Arg-p-nitroanilide as substrate,4,360,O=S(=O)(Oc1cccc(OCC2CCNCC2)c1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(OCCCCCN=C(N)N)cc(OS(=O)(=O)c2ccccc2Cl)c1,CHEMBL802349,Ki,3.920818753952375,CHEMBL287910,1998,CHEMBL1130852,Bioorg Med Chem Lett,Scientific Literature,Compound was tested in vitro for its ability to inhibit serine protease factor Xa using benzoyl-Ile-Glu-Gly-Arg-p-nitroanilide as substrate,4,360,O=S(=O)(Oc1ccccc1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(OCCCCN=C(N)N)cc(OS(=O)(=O)c2ccccc2Cl)c1,CHEMBL662824,Ki,3.9586073148417746,CHEMBL287807,2000,CHEMBL1133126,Bioorg Med Chem Lett,Scientific Literature,Compound was evaluated for inhibition of Coagulation factor X,16,361,O=S(=O)(Oc1ccccc1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(OCCCCN=C(N)N)cc(OS(=O)(=O)c2ccccc2Cl)c1,CHEMBL802349,Ki,3.9586073148417746,CHEMBL287807,1998,CHEMBL1130852,Bioorg Med Chem Lett,Scientific Literature,Compound was tested in vitro for its ability to inhibit serine protease factor Xa using benzoyl-Ile-Glu-Gly-Arg-p-nitroanilide as substrate,4,360,O=S(=O)(Oc1ccccc1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(OCCN(C)c2ccncc2)cc(OS(=O)(=O)c2ccccc2Cl)c1,CHEMBL802349,Ki,3.795880017344075,CHEMBL289951,1998,CHEMBL1130852,Bioorg Med Chem Lett,Scientific Literature,Compound was tested in vitro for its ability to inhibit serine protease factor Xa using benzoyl-Ile-Glu-Gly-Arg-p-nitroanilide as substrate,4,360,O=S(=O)(Oc1cccc(OCCNc2ccncc2)c1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(OCc2ccc(C(=N)N)cc2)cc(OS(=O)(=O)c2ccccc2Cl)c1,CHEMBL662824,Ki,4.77,CHEMBL168290,2000,CHEMBL1133126,Bioorg Med Chem Lett,Scientific Literature,Compound was evaluated for inhibition of Coagulation factor X,16,361,O=S(=O)(Oc1cccc(OCc2ccccc2)c1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
